id,aircraft_registration_number,aircraft_type,flight_number,departure_airport,departure_datetime,arrival_airport,arrival_datetime
286,RY-EQV,787,D958,DXB,2023-10-31 05:47:27,OUL,2023-10-31 09:31:27
287,CT-OPG,320,R358,OUL,2023-04-07 21:58:27,SFO,2023-04-08 08:05:27
288,IZ-TWF,787,P145,FRA,2023-04-19 07:58:27,JFK,2023-04-19 16:48:27
289,OL-LRX,787,T718,FRA,2023-07-25 22:12:27,CDG,2023-07-26 05:47:27
290,EL-QHI,350,R383,OUL,2023-12-09 13:23:27,CDG,2023-12-09 19:59:27
291,YK-LCE,320,I493,OUL,2023-10-20 04:52:27,CDG,2023-10-20 17:00:27
292,HX-JJS,787,B867,SFO,2023-07-12 20:09:27,DXB,2023-07-12 21:40:27
293,SE-GWI,320,U336,JFK,2023-09-13 06:28:27,HEL,2023-09-13 17:09:27
294,TE-DGJ,320,L723,SFO,2023-10-28 13:55:27,OUL,2023-10-28 15:11:27
295,UB-GED,320,E446,OUL,2023-10-22 19:35:27,DXB,2023-10-23 00:56:27
296,DM-DQQ,787,V593,SFO,2024-02-15 23:56:27,AMS,2024-02-16 03:19:27
297,XS-YXP,787,T567,CDG,2024-01-28 13:01:27,DXB,2024-01-29 02:44:27
298,DH-SRW,787,Z697,OUL,2023-07-18 04:17:27,DXB,2023-07-18 17:22:27
299,QI-NTE,350,M838,DXB,2023-08-22 07:58:27,AMS,2023-08-22 21:11:27
300,MK-DWA,787,F568,HND,2023-05-02 10:26:27,DXB,2023-05-02 16:11:27
301,JS-CAV,320,F720,JFK,2023-10-29 21:20:27,AMS,2023-10-30 10:51:27
302,TA-MJE,787,E488,JFK,2023-04-25 22:22:27,CDG,2023-04-26 10:49:27
303,PL-KIU,320,C565,AMS,2024-01-17 03:08:27,LHR,2024-01-17 05:36:27
304,IJ-ILQ,320,B167,OUL,2023-03-15 20:00:27,FRA,2023-03-15 21:06:27
305,UF-KSA,350,W889,OUL,2023-11-25 08:23:27,DXB,2023-11-25 10:08:27
306,KU-QTZ,320,G622,HEL,2023-11-06 07:56:27,LHR,2023-11-06 16:00:27
307,BM-RLF,350,C416,LHR,2023-07-06 10:50:27,CDG,2023-07-06 17:16:27
308,AM-NTF,787,Q139,JFK,2023-05-02 20:42:27,DXB,2023-05-03 01:09:27
309,LS-CXO,787,U478,HEL,2023-03-26 09:49:27,OUL,2023-03-26 20:28:27
310,VL-FYQ,787,N438,CDG,2023-04-11 01:34:27,DXB,2023-04-11 08:28:27
311,VR-LQW,350,S729,HEL,2023-05-14 23:08:27,LHR,2023-05-15 04:57:27
312,YT-MPX,787,J308,HND,2023-11-13 19:29:27,HEL,2023-11-14 05:21:27
313,NF-UQJ,350,Z419,HEL,2023-07-12 16:04:27,AMS,2023-07-12 20:37:27
314,RN-IAX,320,T120,HEL,2023-11-28 15:31:27,FRA,2023-11-28 19:35:27
315,VV-DQG,350,X827,AMS,2023-04-09 10:25:27,HEL,2023-04-09 22:30:27
316,DG-NRO,787,U936,FRA,2023-12-14 12:02:27,DXB,2023-12-14 15:06:27
317,MU-VJB,350,N668,SFO,2023-05-04 02:02:27,FRA,2023-05-04 03:04:27
318,OI-VQD,350,M759,CDG,2023-09-20 06:15:27,OUL,2023-09-20 09:49:27
319,VO-HAV,320,K343,DXB,2023-03-31 21:53:27,OUL,2023-04-01 00:41:27
320,GI-ETU,350,G662,SFO,2023-06-02 05:36:27,DXB,2023-06-02 10:31:27
321,MD-PHS,350,A672,SFO,2023-10-08 17:59:27,CDG,2023-10-09 07:17:27
322,RX-DNE,787,P147,JFK,2023-11-13 12:59:27,HND,2023-11-13 22:35:27
323,WW-OCF,350,Y954,OUL,2024-01-17 11:22:27,DXB,2024-01-17 14:35:27
324,RR-OYU,787,J569,LHR,2023-11-05 16:55:27,SFO,2023-11-06 03:33:27
325,TG-YMB,350,G654,AMS,2023-08-15 10:07:27,SFO,2023-08-15 20:43:27
326,FK-ROI,320,F740,LHR,2024-02-13 04:47:27,CDG,2024-02-13 14:07:27
327,NM-HQD,350,D610,HND,2023-06-07 00:31:27,SFO,2023-06-07 04:30:27
328,GY-PMM,320,W680,CDG,2023-06-16 20:08:27,DXB,2023-06-17 08:58:27
329,NU-MNY,350,S410,FRA,2023-11-10 11:06:27,LHR,2023-11-10 23:47:27
330,QB-WKB,787,E208,LHR,2023-12-15 16:25:27,HND,2023-12-15 17:51:27
331,CG-FPY,350,T165,SFO,2023-09-15 05:59:27,DXB,2023-09-15 11:20:27
332,YU-XDC,320,D537,FRA,2023-11-28 15:06:27,DXB,2023-11-29 04:29:27
333,HU-GFJ,320,O977,CDG,2023-06-06 00:38:27,OUL,2023-06-06 11:40:27
334,SC-LHU,320,D728,CDG,2023-11-23 03:46:27,AMS,2023-11-23 15:43:27
335,XD-WGT,320,Y778,HEL,2024-02-07 00:12:27,HND,2024-02-07 08:32:27
336,PV-NUY,320,H318,JFK,2023-09-17 18:29:27,LHR,2023-09-18 04:58:27
337,YZ-IVL,320,A935,JFK,2023-05-22 13:58:27,FRA,2023-05-23 00:26:27
338,AM-TEK,320,H401,LHR,2023-08-14 12:25:27,OUL,2023-08-14 16:44:27
339,MU-FFX,320,W501,CDG,2023-09-16 15:45:27,HEL,2023-09-16 17:11:27
340,XI-USE,787,J208,HND,2023-03-05 13:37:27,SFO,2023-03-05 23:29:27
341,PF-HLM,350,C766,CDG,2023-04-03 20:18:27,SFO,2023-04-04 08:13:27
342,IF-GSD,350,H164,CDG,2024-01-28 20:58:27,AMS,2024-01-28 22:26:27
343,VC-SOQ,350,P285,SFO,2023-02-27 09:09:27,DXB,2023-02-27 16:27:27
344,HC-TQR,350,F701,DXB,2023-04-12 04:54:27,JFK,2023-04-12 06:15:27
345,QF-TMH,320,C113,HEL,2023-07-22 11:42:27,OUL,2023-07-23 00:31:27
346,HR-KLD,320,A724,JFK,2023-04-04 07:49:27,SFO,2023-04-04 18:59:27
347,PZ-SGC,320,M347,HEL,2023-07-04 21:11:27,FRA,2023-07-05 02:22:27
348,UB-NXG,350,Z583,SFO,2023-05-04 15:57:27,FRA,2023-05-05 05:09:27
349,LK-UVD,787,Z740,LHR,2024-01-20 23:29:27,HEL,2024-01-21 03:25:27
350,VJ-WAQ,320,O107,HEL,2023-05-04 10:33:27,LHR,2023-05-04 21:43:27
351,TM-NEF,350,S135,SFO,2023-02-24 17:42:27,FRA,2023-02-25 05:59:27
352,PM-YSA,350,Z505,DXB,2023-08-29 14:22:27,SFO,2023-08-29 23:24:27
353,YE-JJQ,787,Y561,JFK,2023-10-02 20:42:27,AMS,2023-10-03 00:16:27
354,UQ-YHS,350,E348,HND,2023-08-07 12:39:27,JFK,2023-08-08 01:32:27
355,IN-VVD,320,J359,CDG,2023-03-15 22:46:27,FRA,2023-03-16 12:21:27
356,JU-WMK,787,G834,CDG,2023-03-22 05:08:27,LHR,2023-03-22 10:12:27
357,DT-LAE,787,F649,FRA,2023-08-29 23:41:27,JFK,2023-08-30 06:03:27
358,ZA-PTG,787,J362,HEL,2024-01-14 06:48:27,DXB,2024-01-14 17:19:27
359,RS-BRK,320,K220,DXB,2023-04-28 10:08:27,OUL,2023-04-28 12:51:27
360,ZD-NMM,787,B892,FRA,2023-11-17 17:43:27,DXB,2023-11-17 21:06:27
361,BI-TCM,787,U375,HEL,2023-10-25 09:25:27,CDG,2023-10-25 22:17:27
362,PU-TUY,320,F835,SFO,2023-10-16 05:46:27,LHR,2023-10-16 16:20:27
363,SK-JNQ,787,Z237,FRA,2024-02-21 02:22:27,CDG,2024-02-21 15:44:27
364,EE-VJU,320,W766,LHR,2023-12-16 14:43:27,DXB,2023-12-16 18:00:27
365,BH-GEL,320,Y239,AMS,2023-06-04 08:25:27,HND,2023-06-04 09:55:27
366,ZF-NZH,350,S984,SFO,2023-05-07 19:01:27,AMS,2023-05-08 07:04:27
367,NU-NVN,787,A939,SFO,2023-06-04 07:29:27,HND,2023-06-04 16:53:27
368,FX-RPA,350,F642,HND,2023-07-22 07:18:27,LHR,2023-07-22 15:36:27
369,SV-MFZ,787,U482,OUL,2023-02-24 16:56:27,HEL,2023-02-25 05:40:27
370,AL-VMC,350,J225,AMS,2023-12-22 08:58:27,JFK,2023-12-22 12:04:27
371,QY-JIO,787,G710,SFO,2023-07-31 15:32:27,FRA,2023-07-31 22:24:27
372,TQ-ILU,350,N276,OUL,2024-01-20 05:32:27,SFO,2024-01-20 11:42:27
373,YO-BZN,350,S359,HND,2023-10-26 17:37:27,AMS,2023-10-27 06:04:27
374,ZA-VLJ,320,A263,HND,2023-03-23 18:35:27,CDG,2023-03-23 21:18:27
375,JU-KAJ,320,Z930,FRA,2023-08-12 14:56:27,HEL,2023-08-12 20:47:27
376,AT-YCU,787,J204,LHR,2023-10-12 14:36:27,HEL,2023-10-12 23:45:27
377,XJ-DCO,787,K259,CDG,2023-09-01 09:18:27,HND,2023-09-01 20:34:27
378,UM-XMX,320,C652,HND,2023-06-07 00:55:27,HEL,2023-06-07 05:36:27
379,CC-VTZ,350,X579,DXB,2023-06-18 22:57:27,OUL,2023-06-19 08:32:27
380,HF-PDA,350,G768,DXB,2023-10-02 16:14:27,CDG,2023-10-02 19:07:27
381,VV-PUU,350,H909,DXB,2023-09-16 17:47:27,HND,2023-09-17 07:31:27
382,FZ-IBI,350,Z995,DXB,2023-05-28 21:01:27,HND,2023-05-29 08:57:27
383,OA-MIR,320,H868,JFK,2023-04-16 13:12:27,FRA,2023-04-16 18:28:27
384,ID-GPT,787,E598,CDG,2023-03-17 17:08:27,AMS,2023-03-18 04:05:27
385,YB-SPY,787,C240,FRA,2024-01-10 17:06:27,JFK,2024-01-11 01:29:27
386,TZ-AXQ,320,P763,DXB,2024-01-22 07:12:27,OUL,2024-01-22 13:14:27
387,VA-OGI,320,U242,SFO,2023-09-16 07:12:27,AMS,2023-09-16 20:06:27
388,KP-BZY,787,G224,AMS,2023-08-18 13:12:27,LHR,2023-08-18 18:38:27
389,XE-NVX,787,S168,AMS,2023-08-27 16:46:27,SFO,2023-08-28 06:01:27
390,FA-UTV,787,M906,HEL,2023-06-01 17:11:27,FRA,2023-06-02 02:04:27
391,HZ-XAO,320,Z847,LHR,2023-11-26 00:27:27,FRA,2023-11-26 06:17:27
392,HV-TBI,350,L110,OUL,2023-08-12 02:52:27,FRA,2023-08-12 11:13:27
393,YP-YUK,787,F691,CDG,2023-07-11 06:27:27,OUL,2023-07-11 12:07:27
394,HQ-KIA,787,F600,HEL,2023-08-06 20:18:27,JFK,2023-08-07 10:07:27
395,NZ-JNR,787,G335,HND,2023-03-21 14:18:27,FRA,2023-03-21 20:25:27
396,FR-KXE,350,K950,FRA,2024-02-21 17:55:27,SFO,2024-02-21 23:06:27
397,PC-HDW,787,D654,OUL,2023-03-16 13:01:27,CDG,2023-03-16 22:44:27
398,AC-SZE,350,X711,AMS,2024-02-07 00:22:27,CDG,2024-02-07 12:43:27
399,BP-TEL,787,U925,CDG,2023-05-27 17:53:27,SFO,2023-05-28 04:37:27
400,NL-GMW,787,N172,AMS,2023-10-06 02:53:27,HND,2023-10-06 05:03:27
401,DN-DOF,787,Z610,JFK,2023-09-07 03:04:27,AMS,2023-09-07 16:00:27
402,JZ-JQX,320,X180,DXB,2023-10-30 16:54:27,CDG,2023-10-31 03:35:27
403,UN-VTK,320,R733,SFO,2024-02-08 15:43:27,AMS,2024-02-09 01:38:27
404,JR-IHK,350,I291,OUL,2023-11-12 06:10:27,AMS,2023-11-12 08:20:27
405,BB-FHR,787,X104,SFO,2023-08-09 22:01:27,HEL,2023-08-10 08:23:27
406,OS-YET,787,W330,CDG,2023-06-07 01:13:27,HND,2023-06-07 05:10:27
407,WK-PBF,350,H565,AMS,2023-04-15 09:56:27,FRA,2023-04-15 15:10:27
408,DY-EJT,350,Y472,CDG,2024-01-06 23:33:27,HEL,2024-01-07 07:25:27
409,VK-BAV,350,F354,HND,2023-06-06 10:57:27,LHR,2023-06-06 19:34:27
410,JT-YGR,320,S280,HEL,2023-06-03 18:37:27,LHR,2023-06-04 01:11:27
411,IV-VLE,320,Q696,SFO,2023-10-17 19:11:27,DXB,2023-10-18 07:28:27
412,DQ-KLJ,350,Z419,SFO,2023-07-19 15:06:27,OUL,2023-07-19 21:20:27
413,MX-XMF,787,J106,AMS,2023-06-15 00:07:27,OUL,2023-06-15 10:03:27
414,DC-TAR,320,V852,LHR,2023-11-29 05:53:27,CDG,2023-11-29 18:35:27
415,XK-AOJ,787,G636,FRA,2023-11-24 16:37:27,OUL,2023-11-25 03:34:27
416,ES-ODL,787,W828,OUL,2024-01-20 23:29:27,CDG,2024-01-21 11:31:27
417,ZP-XOV,320,L362,JFK,2024-01-07 07:36:27,OUL,2024-01-07 16:59:27
418,BY-TND,787,D873,CDG,2024-01-07 03:41:27,JFK,2024-01-07 06:44:27
419,PA-OCC,350,E498,HEL,2023-11-21 09:41:27,LHR,2023-11-21 15:46:27
420,CD-AUE,787,L225,SFO,2023-07-09 20:49:27,FRA,2023-07-10 01:58:27
421,FI-VDD,350,C833,CDG,2023-05-08 19:25:27,SFO,2023-05-09 08:16:27
422,ET-SOS,787,S201,HND,2023-04-21 19:52:27,AMS,2023-04-21 23:00:27
423,VE-UIO,787,A733,DXB,2023-07-23 02:03:27,LHR,2023-07-23 06:42:27
424,MC-FUV,787,J633,CDG,2023-08-07 17:05:27,DXB,2023-08-08 00:43:27
425,PO-ZUB,787,N755,AMS,2023-06-20 09:55:27,FRA,2023-06-20 12:00:27
426,PN-CUX,787,R739,CDG,2024-01-06 15:44:27,AMS,2024-01-06 18:05:27
427,WM-ERD,320,T152,AMS,2023-03-16 20:43:27,LHR,2023-03-17 05:30:27
428,GU-AIE,320,P264,JFK,2023-10-15 18:52:27,AMS,2023-10-15 23:00:27
429,XD-ULK,320,J821,CDG,2023-10-18 03:51:27,HEL,2023-10-18 12:56:27
430,EZ-LQL,320,L910,AMS,2023-06-16 11:33:27,DXB,2023-06-17 00:24:27
431,LA-RDP,320,I985,CDG,2023-09-18 16:48:27,HEL,2023-09-18 21:44:27
432,RC-TTN,320,R225,LHR,2023-12-29 16:37:27,OUL,2023-12-29 23:31:27
433,GP-MGL,320,J313,FRA,2023-05-18 15:22:27,CDG,2023-05-19 03:48:27
434,FU-QRA,787,Y130,HEL,2023-08-01 19:38:27,DXB,2023-08-01 21:14:27
435,PP-MPD,350,C558,CDG,2024-01-20 02:01:27,JFK,2024-01-20 03:54:27
436,SE-CYN,350,V388,SFO,2023-07-15 20:23:27,OUL,2023-07-16 08:34:27
437,GX-ACH,350,X626,SFO,2023-07-28 22:47:27,DXB,2023-07-29 05:19:27
438,KG-RCA,350,P255,LHR,2023-12-07 08:26:27,JFK,2023-12-07 12:36:27
439,IK-BNR,787,J543,JFK,2023-10-05 02:36:27,FRA,2023-10-05 12:48:27
440,DB-ALS,787,V458,SFO,2023-11-19 14:01:27,HEL,2023-11-19 20:15:27
441,QY-MRI,787,W871,FRA,2024-01-18 03:49:27,LHR,2024-01-18 11:57:27
442,XL-WOO,787,A101,AMS,2023-07-16 18:21:27,CDG,2023-07-17 04:04:27
443,YY-XGS,350,N928,AMS,2023-12-04 08:58:27,JFK,2023-12-04 11:53:27
444,QA-JSZ,320,T982,LHR,2023-05-27 03:56:27,AMS,2023-05-27 08:32:27
445,AB-EWT,320,O408,OUL,2023-03-03 08:40:27,DXB,2023-03-03 20:31:27
446,OX-QIL,787,F164,HND,2023-09-20 08:11:27,SFO,2023-09-20 11:25:27
447,BY-ZGV,320,I418,HND,2023-05-20 05:20:27,DXB,2023-05-20 14:43:27
448,OZ-CQF,350,V772,OUL,2023-06-29 10:35:27,CDG,2023-06-29 11:45:27
449,LP-CWK,350,H833,CDG,2023-07-26 03:11:27,FRA,2023-07-26 11:27:27
450,NV-TFO,787,W120,OUL,2023-04-03 22:50:27,CDG,2023-04-04 09:47:27
451,XQ-EOV,320,U144,FRA,2024-02-04 22:39:27,SFO,2024-02-05 03:58:27
452,WW-MPH,350,E970,SFO,2023-10-25 21:43:27,HND,2023-10-26 10:12:27
453,KQ-UAA,787,U465,LHR,2023-08-26 04:29:27,AMS,2023-08-26 06:48:27
454,FD-NFH,787,L715,SFO,2023-07-28 22:06:27,LHR,2023-07-29 00:46:27
455,NA-YCB,787,K741,HEL,2023-04-07 11:57:27,FRA,2023-04-07 23:15:27
456,WE-VWW,320,B130,AMS,2023-11-04 01:00:27,HND,2023-11-04 05:54:27
457,MW-HXD,320,K988,AMS,2023-11-18 08:25:27,JFK,2023-11-18 20:18:27
458,KE-UKO,320,D401,SFO,2023-12-08 12:49:27,LHR,2023-12-09 00:17:27
459,RC-FQD,350,S244,OUL,2023-07-15 23:06:27,CDG,2023-07-16 07:33:27
460,VS-GHC,350,K638,SFO,2023-05-09 04:10:27,DXB,2023-05-09 13:40:27
461,PQ-OOD,350,J190,SFO,2023-12-06 10:52:27,LHR,2023-12-06 23:32:27
462,QD-YNT,350,V890,JFK,2023-09-26 18:02:27,FRA,2023-09-26 21:17:27
463,DM-ADJ,320,E548,FRA,2023-09-16 02:11:27,SFO,2023-09-16 12:10:27
464,KJ-TEX,787,T466,LHR,2023-08-25 14:25:27,HEL,2023-08-26 03:03:27
465,PT-TLI,787,I271,CDG,2023-06-27 19:30:27,JFK,2023-06-28 08:16:27
466,TM-VZV,350,M898,HND,2023-07-29 15:22:27,CDG,2023-07-30 00:58:27
467,KP-NDP,787,Q347,CDG,2023-10-02 02:59:27,LHR,2023-10-02 10:42:27
468,WX-APL,787,W848,HEL,2023-07-07 12:17:27,AMS,2023-07-08 00:40:27
469,DX-MLS,320,T338,SFO,2023-08-18 06:18:27,DXB,2023-08-18 13:51:27
470,DH-GZJ,320,F606,LHR,2023-03-01 00:07:27,DXB,2023-03-01 08:35:27
471,EG-EKZ,320,X633,DXB,2023-10-19 22:06:27,LHR,2023-10-20 11:14:27
472,WG-QSV,320,L521,LHR,2024-01-22 18:10:27,SFO,2024-01-23 05:35:27
473,NY-HFZ,350,E837,DXB,2023-08-07 10:43:27,LHR,2023-08-07 19:40:27
474,KW-LNV,320,D513,HND,2024-02-07 15:22:27,LHR,2024-02-07 18:54:27
475,XQ-GYX,350,W778,HEL,2023-05-09 04:19:27,HND,2023-05-09 13:36:27
476,FL-MQR,787,B737,DXB,2023-11-13 09:41:27,AMS,2023-11-13 11:38:27
477,PW-XDI,350,Q468,HND,2023-11-14 21:29:27,SFO,2023-11-15 07:02:27
478,JG-IPJ,787,I575,CDG,2023-07-26 13:51:27,AMS,2023-07-27 03:35:27
479,PD-CCJ,320,W942,JFK,2024-01-08 21:44:27,AMS,2024-01-09 06:54:27
480,OK-SNN,320,I257,FRA,2024-02-11 06:54:27,HEL,2024-02-11 13:01:27
481,DP-ISK,320,S484,AMS,2023-03-31 08:34:27,HND,2023-03-31 12:35:27
482,RC-PIG,350,I339,CDG,2024-01-18 23:03:27,JFK,2024-01-19 10:42:27
483,LK-GZG,320,G175,JFK,2023-11-17 04:19:27,SFO,2023-11-17 10:05:27
484,IX-FYZ,787,Y558,OUL,2023-12-13 14:04:27,DXB,2023-12-13 18:09:27
485,MW-EVM,787,N142,LHR,2023-09-28 03:21:27,AMS,2023-09-28 12:37:27
486,MQ-TJA,787,L941,OUL,2023-11-12 16:56:27,SFO,2023-11-12 22:55:27
487,AA-DUJ,350,S819,DXB,2023-06-18 04:05:27,JFK,2023-06-18 07:16:27
488,DU-DVK,320,H613,HND,2023-07-13 06:35:27,SFO,2023-07-13 16:36:27
489,PE-ODN,787,U737,JFK,2023-12-17 18:56:27,HND,2023-12-18 05:43:27
490,FD-ION,320,C506,DXB,2023-09-08 19:19:27,AMS,2023-09-08 21:10:27
491,NI-SDH,350,Q299,FRA,2023-07-03 18:03:27,JFK,2023-07-04 03:25:27
492,WN-TTO,320,E137,DXB,2024-01-17 12:11:27,CDG,2024-01-17 16:17:27
493,PX-RPP,787,J263,LHR,2023-09-19 12:12:27,FRA,2023-09-20 00:10:27
494,NH-NIU,320,L567,JFK,2023-05-14 03:13:27,HND,2023-05-14 12:25:27
495,QF-YQB,350,O768,FRA,2024-02-17 15:25:27,OUL,2024-02-17 17:58:27
496,NQ-HJV,350,Q903,HEL,2023-12-20 01:40:27,LHR,2023-12-20 07:46:27
497,UW-XFQ,787,G768,HEL,2023-09-15 21:10:27,CDG,2023-09-16 06:47:27
498,GV-YDV,350,M275,AMS,2024-02-05 17:42:27,HEL,2024-02-05 20:20:27
499,GD-HXO,320,Q636,AMS,2023-10-29 02:28:27,OUL,2023-10-29 07:24:27
500,UC-NLP,320,R755,OUL,2024-02-12 07:39:27,JFK,2024-02-12 20:40:27
501,RE-APT,350,N959,DXB,2023-07-26 12:25:27,FRA,2023-07-26 18:13:27
502,RV-AFJ,350,L515,CDG,2023-04-24 10:50:27,OUL,2023-04-25 00:30:27
503,DH-MBL,350,K820,SFO,2023-03-28 05:31:27,FRA,2023-03-28 08:43:27
504,JM-RQQ,787,T852,SFO,2023-10-07 00:15:27,AMS,2023-10-07 06:50:27
505,PZ-WYI,350,M289,FRA,2023-06-26 20:14:27,AMS,2023-06-27 09:42:27
506,FO-NDR,787,W582,LHR,2023-12-13 22:57:27,JFK,2023-12-14 06:31:27
507,BO-LCS,787,L747,FRA,2023-06-12 09:14:27,HEL,2023-06-12 17:29:27
508,UB-NYL,320,J618,CDG,2023-07-16 01:29:27,HND,2023-07-16 03:26:27
509,UQ-VBW,787,G691,OUL,2024-02-05 14:41:27,AMS,2024-02-06 02:20:27
510,KM-YZJ,787,J184,HND,2023-10-27 09:04:27,HEL,2023-10-27 20:31:27
511,OL-NAF,320,P357,OUL,2023-06-06 09:46:27,DXB,2023-06-06 12:58:27
512,OI-ZQH,350,K763,OUL,2023-11-15 17:08:27,HEL,2023-11-16 00:02:27
513,VT-HOW,350,R154,AMS,2023-03-11 17:29:27,JFK,2023-03-12 02:10:27
514,PB-UYO,787,U693,JFK,2023-04-17 03:04:27,CDG,2023-04-17 14:37:27
515,ZR-DWH,350,L372,FRA,2023-11-11 23:26:27,OUL,2023-11-12 04:44:27
516,KR-HPC,787,Z385,HEL,2024-01-28 15:48:27,FRA,2024-01-28 20:28:27
517,XM-FWY,350,Z617,LHR,2023-11-03 03:21:27,HND,2023-11-03 16:13:27
518,LG-PVM,320,I746,OUL,2023-09-16 03:26:27,FRA,2023-09-16 11:02:27
519,YX-GQK,320,B901,CDG,2023-12-02 21:12:27,LHR,2023-12-02 23:18:27
520,GO-XHL,320,T633,DXB,2023-11-04 21:09:27,OUL,2023-11-04 22:40:27
521,YN-OVS,350,H316,AMS,2023-08-28 19:56:27,LHR,2023-08-29 04:21:27
522,LV-CRH,350,O441,HND,2023-11-22 07:59:27,CDG,2023-11-22 11:22:27
523,HY-DOY,350,A362,HND,2023-12-10 06:35:27,DXB,2023-12-10 17:19:27
524,GF-ZEH,320,U776,DXB,2024-02-20 07:42:27,HEL,2024-02-20 14:44:27
525,YK-JVD,350,H169,LHR,2023-04-28 06:58:27,HND,2023-04-28 15:32:27
526,RU-YTM,787,U371,SFO,2023-07-20 04:01:27,OUL,2023-07-20 08:46:27
527,AE-GAS,320,D344,HND,2023-08-24 11:19:27,FRA,2023-08-24 21:04:27
528,JC-ISB,787,H272,HEL,2023-03-07 02:59:27,LHR,2023-03-07 07:00:27
529,VO-XXW,350,K532,HND,2024-01-25 10:40:27,HEL,2024-01-25 21:51:27
530,BQ-WQY,320,U727,HND,2023-03-03 14:17:27,LHR,2023-03-04 00:24:27
531,UT-NSZ,320,W366,FRA,2024-01-20 01:03:27,CDG,2024-01-20 12:10:27
532,JT-YHE,787,P161,OUL,2023-10-12 19:59:27,HND,2023-10-13 06:07:27
533,BX-TZU,350,A385,AMS,2023-08-26 01:03:27,HND,2023-08-26 11:32:27
534,FB-CBT,787,A712,DXB,2023-05-15 15:32:27,FRA,2023-05-16 03:06:27
535,PT-KHJ,320,Z112,JFK,2023-11-01 18:57:27,HEL,2023-11-02 05:06:27
536,XO-HWS,787,Q578,DXB,2023-11-20 04:09:27,AMS,2023-11-20 07:02:27
537,OF-VZV,350,V797,DXB,2023-06-19 03:59:27,FRA,2023-06-19 11:27:27
538,QP-EZK,350,L274,HND,2023-08-05 14:16:27,AMS,2023-08-05 19:39:27
539,IV-HHY,320,K576,LHR,2023-03-21 13:36:27,OUL,2023-03-22 00:30:27
540,QF-UBA,350,Y104,CDG,2023-06-04 19:20:27,DXB,2023-06-05 04:00:27
541,HJ-WFY,787,U555,LHR,2024-01-04 09:34:27,HND,2024-01-04 12:20:27
542,GU-XJT,350,P228,OUL,2023-09-20 16:48:27,HEL,2023-09-20 19:12:27
543,FZ-WCM,350,C946,AMS,2023-11-09 15:41:27,HEL,2023-11-10 03:40:27
544,LD-KYV,320,W710,LHR,2023-10-12 07:13:27,HEL,2023-10-12 16:36:27
545,DL-NQL,787,A168,FRA,2023-04-26 16:01:27,HEL,2023-04-26 22:48:27
546,HI-ADJ,320,J676,AMS,2023-08-10 23:02:27,HEL,2023-08-11 04:06:27
547,HB-DUR,787,P257,FRA,2023-06-27 23:23:27,LHR,2023-06-28 08:09:27
548,OI-WEK,350,O964,HEL,2024-02-11 12:24:27,LHR,2024-02-12 00:22:27
549,DV-TFP,320,F892,LHR,2023-11-20 20:50:27,DXB,2023-11-21 02:41:27
550,ZD-CPY,320,C495,DXB,2023-10-04 23:52:27,AMS,2023-10-05 00:53:27
551,KK-PVV,787,I252,DXB,2023-11-20 10:05:27,LHR,2023-11-20 15:43:27
552,XE-RCO,787,D668,HEL,2023-11-15 04:16:27,FRA,2023-11-15 13:43:27
553,SZ-GCY,320,F377,OUL,2023-02-24 00:33:27,FRA,2023-02-24 01:58:27
554,ON-APJ,787,Y572,AMS,2023-07-24 10:56:27,JFK,2023-07-24 22:52:27
555,QZ-DAE,787,G843,DXB,2023-04-22 21:29:27,AMS,2023-04-23 09:30:27
556,JI-NBY,787,D320,JFK,2023-04-21 05:17:27,OUL,2023-04-21 09:57:27
557,YT-RWX,320,W882,DXB,2023-02-24 18:58:27,LHR,2023-02-25 02:15:27
558,XH-UQM,787,Y487,HND,2024-01-19 20:29:27,HEL,2024-01-20 02:21:27
559,WF-GJW,320,C635,HND,2023-03-04 16:12:27,HEL,2023-03-05 04:35:27
560,XP-PKQ,320,D628,OUL,2023-06-02 18:16:27,SFO,2023-06-02 21:54:27
561,JV-KUZ,320,G936,HEL,2023-05-05 13:32:27,OUL,2023-05-06 00:02:27
562,CF-FTK,320,E181,AMS,2024-02-12 06:14:27,OUL,2024-02-12 13:41:27
563,VR-HPB,350,N128,HEL,2023-03-09 09:49:27,JFK,2023-03-09 16:55:27
564,CI-KZS,320,G518,LHR,2023-04-20 07:41:27,JFK,2023-04-20 11:46:27
565,WY-JUP,787,I854,AMS,2024-01-04 06:39:27,LHR,2024-01-04 11:03:27
566,FO-OLM,787,U171,HEL,2023-03-13 10:40:27,OUL,2023-03-13 16:07:27
567,BS-FRL,350,M506,CDG,2024-02-10 20:17:27,AMS,2024-02-11 06:52:27
568,NZ-MAN,320,U318,SFO,2023-12-21 23:42:27,HEL,2023-12-22 12:12:27
569,LV-IJS,320,O650,CDG,2023-03-10 02:53:27,HND,2023-03-10 16:51:27
570,SU-WKG,350,B852,LHR,2024-01-03 13:18:27,AMS,2024-01-03 19:44:27
571,FA-ZLC,350,T329,SFO,2023-04-07 21:41:27,JFK,2023-04-08 06:58:27
572,HQ-LKF,350,T812,HEL,2023-05-30 17:54:27,FRA,2023-05-31 03:37:27
573,ER-UGP,787,S691,AMS,2023-07-02 22:32:27,HEL,2023-07-03 00:17:27
574,QX-QQJ,787,V770,AMS,2023-07-03 11:05:27,HEL,2023-07-03 17:40:27
